,ID,Usuario,Fecha_tweet,Texto,Latitud,Longitud,Sentimiento,Idioma
222,1.02123e+18,billy0_o,2018-07-23T03:08:28.000Z,"Si yo jugará sería diferente, Me volveré Dt jajajaja",20.941035,-89.623611,positivo,Eslovenia
331,1.02122e+18,Luis_Freyre73,2018-07-23T02:26:35.000Z,@FortniteGame Quiero jugar amiwos pero tengo proyectos :((( súbanme de nivel automáticamente friends,20.941035,-89.623611,negativo,Español
2081,1.02087e+18,Noti_Fut_MX,2018-07-22T03:02:41.000Z,"Me está gustando la iniciativa de @Chivas al jugar al fútbol, tomando el balón y saliendo desde el fondo. Dominando a @Xolos en una cancha muy difícil. Sin embargo, la más clara fue del equipo local pero bien Gudiño en el fondo.",21.22812,-89.6748995,positivo,Español
2192,1.02085e+18,vcarrillo07,2018-07-22T02:03:41.000Z,"Dzan 1-2 Itzaes!! Nada está resuelto y la próxima semana a jugar mejor de lo que lo hicimos hoy!! #fcitzaes ⚽🏆😉🤙 en Dzan, Yucatan, Mexico https://t.co/TCnkjDA9oQ",20.38548436,-89.46868384,positivo,Español
3016,1.02072e+18,m_paredesChable,2018-07-21T17:29:42.000Z,Uno no deja de jugar porque se hace viejo ... se hace viejo cuando se deja de jugar,20.941035,-89.623611,negativo,Español
3222,1.02068e+18,Mevilesq,2018-07-21T14:51:51.000Z,@alicia_mtzyuc Pues para jugar fútbol no hay hora jajajajaja más si es en #XboxOne  saludos PD. Felicidades a tu hija,20.941035,-89.623611,positivo,Español
3288,1.02067e+18,AndyAlonzoD,2018-07-21T13:58:11.000Z,"@bserikag Es que se puede jugar squad entre Xbox, Ps4, móvil y pc pero no he visto Switch hasta ahora entonces no sé",20.941035,-89.623611,neutro,Español
3912,1.02051e+18,Dianina_17,2018-07-21T03:08:54.000Z,@steve_alice Jugar pokemon? :v,21.22812,-89.6748995,neutro,Eslovenia
6896,1.02e+18,Matorro14,2018-07-19T17:39:20.000Z,Yo siento que el mejor jugador que me ha tocado ver jugar a sido @10Ronaldinho,20.941035,-89.623611,positivo,Español
7317,1.01993e+18,luisbasto,2018-07-19T13:01:42.000Z,"@jrisco Sancionados con $197 millones pero les tocará $1,500 millones anuales como partido político. Buena jugarreta, ""hayga sido como hayga sido"". #AmigosFox, #PemexGate, #SorianaGate, #FideicomisoGate",20.941035,-89.623611,neutro,Español
7666,1.0198e+18,RaamoonCs,2018-07-19T04:27:54.000Z,¿Alguien en chelem para jugar continental? 😂,21.22812,-89.6748995,positivo,Español
7793,1.01979e+18,DMarentes_001,2018-07-19T03:26:40.000Z,Hoy se retira uno de los mejores #CB q he visto jugar #RevisIsland @Revis24 el mejor Jet d la era moderna!! https://t.co/odOqe4sF8K,20.941035,-89.623611,positivo,Español
9141,1.01957e+18,Sellyplata,2018-07-18T13:18:21.000Z,Soy de las personas que no les importa tirarse al piso para jugar con un perrito. 🐶🤷🏽‍♀️,20.941035,-89.623611,positivo,Español
9569,1.01944e+18,Alexanderpzcz,2018-07-18T04:34:24.000Z,Paquito no quizo jugar 4nite conmigo &lt;/3,20.941035,-89.623611,positivo,Español
